SPFB.RTS-12.18,1,10/09/18,10:01,103750.0000000,103900.0000000,103680.0000000,103900.0000000,19	103750.00000	103750,00000	103750	1		10/09/18 открытие	10/09/18 закрытие	10.09.2018 мин	10.09.2018 макс	10/10/18 открытие	10/10/18 закрытие	10/10/18 мин	 10/10/18 макс	08/11/18 открытие	08/11/18 закрытие	08/11/18 мин	08/11/18 макс	08/12/18 открытие	08/12/18 закрытие	08.12.2018 мин	08.12.2018 макс
SPFB.RTS-12.18,1,10/09/18,12:38,103810.0000000,103810.0000000,103810.0000000,103810.0000000,1	103810.00000	103810,00000	103810																		
SPFB.RTS-12.18,1,10/09/18,12:39,103790.0000000,103790.0000000,103790.0000000,103790.0000000,1	103790.00000	103790,00000	103790																		
SPFB.RTS-12.18,1,10/09/18,12:40,103800.0000000,103800.0000000,103800.0000000,103800.0000000,40	103800.00000	103800,00000	103800																		
SPFB.RTS-12.18,1,10/09/18,12:45,103840.0000000,103840.0000000,103840.0000000,103840.0000000,10	103840.00000	103840,00000	103840																		
SPFB.RTS-12.18,1,10/09/18,12:46,103890.0000000,103920.0000000,103860.0000000,103860.0000000,4	103890.00000	103890,00000	103890																		
SPFB.RTS-12.18,1,10/09/18,12:47,103820.0000000,103820.0000000,103820.0000000,103820.0000000,3	103820.00000	103820,00000	103820																		
SPFB.RTS-12.18,1,10/09/18,12:48,103800.0000000,103800.0000000,103780.0000000,103780.0000000,2	103800.00000	103800,00000	103800																		
SPFB.RTS-12.18,1,10/09/18,12:49,103750.0000000,103750.0000000,103750.0000000,103750.0000000,1	103750.00000	103750,00000	103750																		
SPFB.RTS-12.18,1,10/09/18,12:51,103750.0000000,103750.0000000,103750.0000000,103750.0000000,1	103750.00000	103750,00000	103750																		
SPFB.RTS-12.18,1,10/09/18,12:52,103790.0000000,103790.0000000,103790.0000000,103790.0000000,3	103790.00000	103790,00000	103790																		
SPFB.RTS-12.18,1,10/09/18,12:55,103730.0000000,103730.0000000,103730.0000000,103730.0000000,1	103730.00000	103730,00000	103730																		
SPFB.RTS-12.18,1,10/09/18,12:56,103740.0000000,103740.0000000,103740.0000000,103740.0000000,1	103740.00000	103740,00000	103740																		
SPFB.RTS-12.18,1,10/09/18,12:57,103780.0000000,103780.0000000,103780.0000000,103780.0000000,1	103780.00000	103780,00000	103780																		
SPFB.RTS-12.18,1,10/09/18,13:00,103770.0000000,103780.0000000,103770.0000000,103780.0000000,2	103770.00000	103770,00000	103770																		
SPFB.RTS-12.18,1,10/09/18,13:01,103710.0000000,103710.0000000,103550.0000000,103570.0000000,60	103710.00000	103710,00000	103710																		
SPFB.RTS-12.18,1,10/09/18,13:02,103540.0000000,103540.0000000,103460.0000000,103510.0000000,179	103540.00000	103540,00000	103540																		
SPFB.RTS-12.18,1,10/09/18,13:03,103510.0000000,103520.0000000,103450.0000000,103450.0000000,67	103510.00000	103510,00000	103510																		
SPFB.RTS-12.18,1,10/09/18,13:04,103430.0000000,103520.0000000,103380.0000000,103520.0000000,31	103430.00000	103430,00000	103430																		
SPFB.RTS-12.18,1,10/09/18,13:05,103470.0000000,103490.0000000,103450.0000000,103490.0000000,12	103470.00000	103470,00000	103470																		
SPFB.RTS-12.18,1,10/09/18,13:06,103470.0000000,103470.0000000,103420.0000000,103440.0000000,48	103470.00000	103470,00000	103470																		
SPFB.RTS-12.18,1,10/09/18,13:07,103460.0000000,103510.0000000,103440.0000000,103480.0000000,43	103460.00000	103460,00000	103460																		
SPFB.RTS-12.18,1,10/09/18,13:08,103480.0000000,103520.0000000,103460.0000000,103520.0000000,7	103480.00000	103480,00000	103480																		
SPFB.RTS-12.18,1,10/09/18,13:09,103530.0000000,103530.0000000,103490.0000000,103490.0000000,2	103530.00000	103530,00000	103530																		
SPFB.RTS-12.18,1,10/09/18,13:10,103440.0000000,103450.0000000,103440.0000000,103450.0000000,6	103440.00000	103440,00000	103440																		
SPFB.RTS-12.18,1,10/09/18,13:11,103420.0000000,103430.0000000,103400.0000000,103430.0000000,48	103420.00000	103420,00000	103420																		
SPFB.RTS-12.18,1,10/09/18,13:12,103450.0000000,103500.0000000,103450.0000000,103470.0000000,13	103450.00000	103450,00000	103450																		
SPFB.RTS-12.18,1,10/09/18,13:13,103470.0000000,103470.0000000,103450.0000000,103450.0000000,12	103470.00000	103470,00000	103470																		
SPFB.RTS-12.18,1,10/09/18,13:14,103420.0000000,103420.0000000,103420.0000000,103420.0000000,1	103420.00000	103420,00000	103420																		
SPFB.RTS-12.18,1,10/09/18,13:16,103480.0000000,103480.0000000,103470.0000000,103470.0000000,6	103480.00000	103480,00000	103480																		
SPFB.RTS-12.18,1,10/09/18,13:17,103480.0000000,103480.0000000,103440.0000000,103440.0000000,5	103480.00000	103480,00000	103480																		
SPFB.RTS-12.18,1,10/09/18,13:18,103450.0000000,103450.0000000,103450.0000000,103450.0000000,5	103450.00000	103450,00000	103450																		
SPFB.RTS-12.18,1,10/09/18,13:20,103450.0000000,103450.0000000,103440.0000000,103440.0000000,19	103450.00000	103450,00000	103450																		
SPFB.RTS-12.18,1,10/09/18,13:21,103430.0000000,103430.0000000,103340.0000000,103380.0000000,38	103430.00000	103430,00000	103430																		
SPFB.RTS-12.18,1,10/09/18,13:22,103360.0000000,103360.0000000,103220.0000000,103220.0000000,42	103360.00000	103360,00000	103360																		
SPFB.RTS-12.18,1,10/09/18,13:23,103220.0000000,103270.0000000,103220.0000000,103270.0000000,10	103220.00000	103220,00000	103220																		
SPFB.RTS-12.18,1,10/09/18,13:25,103290.0000000,103320.0000000,103270.0000000,103270.0000000,15	103290.00000	103290,00000	103290																		
SPFB.RTS-12.18,1,10/09/18,13:26,103280.0000000,103290.0000000,103280.0000000,103290.0000000,4	103280.00000	103280,00000	103280																		
SPFB.RTS-12.18,1,10/09/18,13:27,103260.0000000,103300.0000000,103260.0000000,103300.0000000,3	103260.00000	103260,00000	103260																		
SPFB.RTS-12.18,1,10/09/18,13:28,103250.0000000,103250.0000000,103170.0000000,103200.0000000,30	103250.00000	103250,00000	103250																		
SPFB.RTS-12.18,1,10/09/18,13:29,103250.0000000,103320.0000000,103250.0000000,103320.0000000,4	103250.00000	103250,00000	103250																		
SPFB.RTS-12.18,1,10/09/18,13:30,103270.0000000,103300.0000000,103270.0000000,103300.0000000,9	103270.00000	103270,00000	103270																		
SPFB.RTS-12.18,1,10/09/18,13:31,103300.0000000,103300.0000000,103230.0000000,103250.0000000,44	103300.00000	103300,00000	103300																		
SPFB.RTS-12.18,1,10/09/18,13:32,103270.0000000,103300.0000000,103270.0000000,103300.0000000,77	103270.00000	103270,00000	103270																		
SPFB.RTS-12.18,1,10/09/18,13:33,103300.0000000,103300.0000000,103280.0000000,103280.0000000,14	103300.00000	103300,00000	103300																		
SPFB.RTS-12.18,1,10/09/18,13:35,103260.0000000,103300.0000000,103260.0000000,103300.0000000,7	103260.00000	103260,00000	103260																		
SPFB.RTS-12.18,1,10/09/18,13:36,103290.0000000,103300.0000000,103290.0000000,103300.0000000,30	103290.00000	103290,00000	103290																		
SPFB.RTS-12.18,1,10/09/18,13:38,103300.0000000,103340.0000000,103300.0000000,103340.0000000,35	103300.00000	103300,00000	103300																		
SPFB.RTS-12.18,1,10/09/18,13:39,103340.0000000,103350.0000000,103340.0000000,103350.0000000,4	103340.00000	103340,00000	103340																		
